completion_date,company_alias_name,company_alias_id,assigned_by_email,notified_contacts,product_name,product_item_number,task_assigned_date,task_assignees,task_status,days_open,task_id
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,01-25-2023,General Management,Not Started,89,5 026
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-09-2022,General Management,Closed,41,4 631
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,01-19-2023,"General Management,Finance,Customer Service",Not Started,95,5 008
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",ADIRONDACK CHAIR RED,1900672,12-09-2022,General Management,Not Started,136,4 634
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,CAT Junior Crew Fix-It Phillip Construction Truck,9877,12-15-2020,Company-User-Individual@supersellerllc.com,Not Started,860,273
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Vellux Sheared Mink Blanket,9812,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,248
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,"Machine Maker Construction Mega City Service Team, 39-piece Set",9800,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,241
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Niko 6-piece Modular Seating Set,9804,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,243
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Niko 7-piece Patio Dining Set,9806,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,244
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Vellux Plush Lux Blanket,9813,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,246
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Vellux Plush Micro Mink Blanket,9811,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,247
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Niko 8-piece Modular Seating Set,9803,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,245
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,CAT Junior Crew Fix-It Phillip Construction Truck,9801,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,234
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Infinity Crazyhorse HT29 XM3 ST 29” Unisex Mountain Bike,9814,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,235
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Jetson Saturn 3 Wheel Light-up Folding Scooter,9802,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,236
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,"Ladies' Down Jacket - Black, L",9809,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,237
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,"Ladies' Down Jacket - Black, M",9808,12-14-2020,Company-User-Individual@supersellerllc.com,Not Started,861,238
10-27-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),10-27-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 479
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),10-28-2022,Company-User-Individual@supersellerllc.com,In Progress,178,4 480
11-02-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-02-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 524
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-02-2022,Company-User-Individual@supersellerllc.com,In Progress,173,4 525
11-04-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-04-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 531
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,"Tarah.Carrier@supersellerllc.com,test-invit20211029@supersellerllc.com,Reena.Koll@supersellerllc.com,Carolee.Harsh@supersellerllc.com,Company-User-Individual@supersellerllc.com",(blank),(blank),01-19-2023,General Management,Closed,55,5 011
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),07-26-2021,Company-User-Individual@supersellerllc.com,In Progress,685,612
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),02-08-2022,Company-User-Individual@supersellerllc.com,Closed,6,1 161
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),02-08-2022,Company-User-Individual@supersellerllc.com,Not Started,440,1 158
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-10-2022,Company-User-Individual@supersellerllc.com,Not Started,165,4 571
03-29-2023,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),03-29-2023,Company-User-Individual@supersellerllc.com,Completed,0,5 568
11-03-2021,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-03-2021,Company-User-Individual@supersellerllc.com,Completed,0,904
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-19-2021,Company-User-Individual@supersellerllc.com,Closed,88,1 023
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),11-19-2021,Company-User-Individual@supersellerllc.com,Not Started,521,1 021
11-06-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Eyelet Popover Mini Dress,429478,11-06-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 556
11-06-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,T-Shirt,TSH123L,11-06-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 557
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,"Tarah.Carrier@supersellerllc.com,test-invit20211029@supersellerllc.com,Reena.Koll@supersellerllc.com,Carolee.Harsh@supersellerllc.com,Company-User-Individual@supersellerllc.com",Eyelet Popover Mini Dress,429478,01-24-2023,"Customer Service,Distribution",In Progress,90,5 023
11-07-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,T-Shirt,TSH123L,11-07-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 559
11-07-2022,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Eyelet Popover Mini Dress,429478,11-07-2022,Company-User-Individual@supersellerllc.com,Completed,0,4 558
02-06-2023,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Eyelet Popover Mini Dress,429478,11-15-2022,Company-User-Individual@supersellerllc.com,Completed,82,4 581
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,BiRite Prod 2,14-22345,07-26-2021,Company-User-Individual@supersellerllc.com,Closed,0,642
02-06-2023,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,Eyelet Popover Mini Dress,429478,02-06-2023,Company-User-Individual@supersellerllc.com,Completed,0,5 544
(blank),(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,T-Shirt,TSH123L,02-06-2023,Company-User-Individual@supersellerllc.com,Not Started,77,5 551
02-06-2023,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),02-06-2023,Company-User-Individual@supersellerllc.com,Completed,0,5 545
02-06-2023,(blank),(blank),Company-Admin-Enterprise@mmbcorp.com,Company-User-Individual@supersellerllc.com,(blank),(blank),02-06-2023,Company-User-Individual@supersellerllc.com,Completed,0,5 543
(blank),SuperCar,132435,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test80.com,(blank),(blank),10-25-2022,ludmila.nesvitiy@test80.com,Closed,0,4 474
(blank),SuperCar,132435,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api@test80.com,ludmila.nesvitiy+1@test80.com,ludmila.nesvitiy@test80.com",(blank),(blank),01-19-2023,General Management,Closed,55,5 013
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Not Started,134,4 640
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Not Started,134,4 641
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Not Started,134,4 642
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Not Started,134,4 643
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Not Started,134,4 644
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",(blank),(blank),11-03-2021,General Management,In Progress,537,914
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  BLUE 3XL CRW SWTR,1558748,12-14-2021,General Management,Not Started,496,1 058
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  BLUE XL CRW SWTR,1558746,12-14-2021,General Management,Not Started,496,1 059
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  BLUE XXL CRW SWTR,1558747,12-14-2021,General Management,Not Started,496,1 060
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED 3XL CRW SWTR,1558754,12-14-2021,General Management,Not Started,496,1 061
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED L CRW SWTR,1558751,12-14-2021,General Management,Not Started,496,1 062
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED M CRW SWTR,1558750,12-14-2021,General Management,Not Started,496,1 063
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED S  CRW SWTR,1558749,12-14-2021,General Management,Not Started,496,1 064
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED XL CRW SWTR,1558752,12-14-2021,General Management,Not Started,496,1 065
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BR  RED XXL CRW SWTR,1558753,12-14-2021,General Management,Not Started,496,1 066
(blank),BigBrain,574635,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",1,1,12-11-2022,General Management,Closed,0,4 639
(blank),BigBrain,574635,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test47.com,ludmila.nesvitiy.api@test47.com",BiRite Prod 10,13-2222,02-06-2023,General Management,Not Started,77,5 549
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-09-2021,General Management,Waiting for Connection...,531,927
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",2,2,12-09-2022,General Management,Waiting for Connection...,136,4 633
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",bella,bella,12-09-2022,General Management,Waiting for Connection...,136,4 629
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-09-2021,"General Management,Distribution,Finance",Waiting for Connection...,531,935
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),01-19-2023,General Management,Waiting for Connection...,95,5 014
(blank),Blanket,Blanket240,Alesia.Chamblee@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),02-16-2022,General Management,Waiting for Connection...,432,1 190
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),02-16-2022,General Management,Waiting for Connection...,432,1 192
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test37.com,(blank),(blank),11-09-2021,"Customer Service,Distribution",Waiting for Connection...,531,921
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-03-2021,General Management,Waiting for Connection...,537,911
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-02-2021,General Management,Waiting for Connection...,538,901
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-16-2021,General Management,Waiting for Connection...,524,983
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",(blank),(blank),11-16-2021,General Management,Waiting for Connection...,524,978
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",BT GRY XXL SCRUB PNT2PK,1488131,12-14-2021,General Management,Waiting for Connection...,496,1 043
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",BT GRY XL SCRUB TOP3PK,1487816,12-14-2021,General Management,Waiting for Connection...,496,1 041
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",BT GRY XS SCRUB TOP3PK,1487809,12-14-2021,General Management,Waiting for Connection...,496,1 042
(blank),Blanket,Blanket240,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy@test37.com,ludmila.nesvitiy@test56.com",BT GRY XXL SCRUB TOP3PK,1487817,12-14-2021,General Management,Waiting for Connection...,496,1 044
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test29.com,12k OLED Flatscreen TV - 50 Inch,A11-0092G,08-26-2021,ludmila.nesvitiy@test29.com,Waiting for Connection...,606,706
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,ludmila.nesvitiy@test29.com,12k OLED Flatscreen TV - 19 Inch,A11-4432F810,08-26-2021,ludmila.nesvitiy@test29.com,Waiting for Connection...,606,707
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,12-09-2022,General Management,Waiting for Connection...,136,4 632
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,12-09-2022,General Management,Waiting for Connection...,136,4 627
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,07-13-2022,General Management,Waiting for Connection...,285,3 237
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,07-13-2022,General Management,Waiting for Connection...,285,3 234
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,07-13-2022,General Management,Waiting for Connection...,285,3 239
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,03-29-2023,General Management,Waiting for Connection...,26,5 570
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 19 Inch,A11-4432F810,02-10-2022,General Management,Waiting for Connection...,438,1 163
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",12k OLED Flatscreen TV - 50 Inch,A11-0092G,02-10-2022,General Management,Waiting for Connection...,438,1 164
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 32X34 FLC PANT,1553613,12-14-2021,General Management,Waiting for Connection...,496,1 120
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 36X32 FLC PANT,1553618,12-14-2021,General Management,Waiting for Connection...,496,1 124
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 32X32 FLC PANT,1553593,12-14-2021,General Management,Waiting for Connection...,496,1 101
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 34X34 FLC PANT,1553597,12-14-2021,General Management,Waiting for Connection...,496,1 105
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 38X30 FLC PANT,1553601,12-14-2021,General Management,Waiting for Connection...,496,1 109
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 40X32 FLC PANT,1553606,12-14-2021,General Management,Waiting for Connection...,496,1 113
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 42X34 FLC PANT,1553610,12-14-2021,General Management,Waiting for Connection...,496,1 117
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 34X30 FLC PANT,1553614,12-14-2021,General Management,Waiting for Connection...,496,1 121
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 36X34 FLC PANT,1553619,12-14-2021,General Management,Waiting for Connection...,496,1 125
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 40X30 FLC PANT,1553624,12-14-2021,General Management,Waiting for Connection...,496,1 129
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 32X34 FLC PANT,1553594,12-14-2021,General Management,Waiting for Connection...,496,1 102
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 36X30 FLC PANT,1553598,12-14-2021,General Management,Waiting for Connection...,496,1 106
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 38X32 FLC PANT,1553602,12-14-2021,General Management,Waiting for Connection...,496,1 110
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 40X34 FLC PANT,1553607,12-14-2021,General Management,Waiting for Connection...,496,1 114
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 32X30 FLC PANT,1553611,12-14-2021,General Management,Waiting for Connection...,496,1 118
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 34X32 FLC PANT,1553615,12-14-2021,General Management,Waiting for Connection...,496,1 122
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 38X30 FLC PANT,1553621,12-14-2021,General Management,Waiting for Connection...,496,1 126
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 34X30 FLC PANT,1553595,12-14-2021,General Management,Waiting for Connection...,496,1 103
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 36X32 FLC PANT,1553599,12-14-2021,General Management,Waiting for Connection...,496,1 107
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 38X34 FLC PANT,1553603,12-14-2021,General Management,Waiting for Connection...,496,1 111
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 42X30 FLC PANT,1553608,12-14-2021,General Management,Waiting for Connection...,496,1 115
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 32X32 FLC PANT,1553612,12-14-2021,General Management,Waiting for Connection...,496,1 119
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 36X30 FLC PANT,1553617,12-14-2021,General Management,Waiting for Connection...,496,1 123
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLUE 38X32 FLC PANT,1553622,12-14-2021,General Management,Waiting for Connection...,496,1 127
(blank),BLE,BLE,Company-Admin-Enterprise@mmbcorp.com,"ludmila.nesvitiy.api+1@test39.com,ludmila.nesvitiy.api+1@test37.com",EB BLACK 32X30 FLC PANT,1553592,12-14-2021,General Management,Waiting for Connection...,496,1 100
